Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,2005,2005,0.003,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,2006,2006,0.0055,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,2007,2007,0.0161,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,2008,2008,0.0172,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,2009,2009,0.0031,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,2010,2010,0.0006,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,2011,2011,0.0026,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,2012,2012,0.0037,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,2013,2013,0.0031,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,2014,2014,0.0019,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1960,1960,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1961,1961,0.0001,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1962,1962,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1963,1963,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1964,1964,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1965,1965,0.0031,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1966,1966,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1967,1967,0.0054,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1968,1968,0.0128,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1969,1969,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1970,1970,0.0023,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1971,1971,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1972,1972,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1973,1973,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1974,1974,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1975,1975,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1976,1976,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1977,1977,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1978,1978,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1979,1979,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1980,1980,0.0014,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1981,1981,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1982,1982,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1983,1983,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1984,1984,0.0008,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1985,1985,0.0018,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1986,1986,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1987,1987,0.0016,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1988,1988,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1989,1989,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1990,1990,0.0001,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1991,1991,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1992,1992,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1993,1993,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1994,1994,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1995,1995,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1996,1996,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1997,1997,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1998,1998,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,1999,1999,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2000,2000,0.0002,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2001,2001,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2002,2002,0.0003,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2003,2003,0.0009,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2004,2004,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2005,2005,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2006,2006,0.0083,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2007,2007,0.0001,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2008,2008,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2009,2009,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2010,2010,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2011,2011,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2012,2012,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2013,2013,0,,,,,,
,,Cascades,,,Historical Rate: Fire,Historical Year: Fire,2014,2014,0.001,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1960,1960,0.0012,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1961,1961,0.0001,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1962,1962,0.0016,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1963,1963,0,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1964,1964,0.0003,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1965,1965,0.0001,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1966,1966,0.0003,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1967,1967,0,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1968,1968,0.0003,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1969,1969,0.0002,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1970,1970,0,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1971,1971,0,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1972,1972,0.0006,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1973,1973,0.0003,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1974,1974,0.0012,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1975,1975,0,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1976,1976,0,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1977,1977,0.0002,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1978,1978,0.0001,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1979,1979,0,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1980,1980,0.0001,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1981,1981,0.0027,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1982,1982,0,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1983,1983,0.0002,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1984,1984,0.0057,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1985,1985,0.0027,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1986,1986,0.0006,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1987,1987,0.0015,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1988,1988,0.0009,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1989,1989,0.0001,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1990,1990,0.0005,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1991,1991,0.0002,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1992,1992,0.0002,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1993,1993,0,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1994,1994,0.0012,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1995,1995,0.0012,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1996,1996,0.0015,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1997,1997,0,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1998,1998,0.0008,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,1999,1999,0.0018,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2000,2000,0.0019,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2001,2001,0.0014,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2002,2002,0.0087,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2003,2003,0.0022,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2004,2004,0.0032,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2005,2005,0.0006,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2006,2006,0.003,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2007,2007,0.0083,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2008,2008,0.0003,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2009,2009,0.001,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2010,2010,0.0009,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2011,2011,0.0022,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2012,2012,0.0035,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2013,2013,0.0049,,,,,,
,,Central Basin and Range,,,Historical Rate: Fire,Historical Year: Fire,2014,2014,0.0001,,,,,,
